web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,08/04/2023,15/04/2023,499,499,MOBILHOME 4 personnes - PREMIUM JACUZZI,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,509,509,MOBILHOME 8 personnes - QUATTRO,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,599,599,MOBILHOME 6 personnes - PREMIUM JACUZZI,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,289,289,MOBILHOME 6 personnes - Cottage 3 chambres climatisé + TV,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"415,16","257,40",MOBILHOME 6 personnes - Cottage 4 Pièces 6 Personnes Climatisé + TV,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"354,25","266,25",MOBILHOME 4 personnes - Sumba CLASSIC Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,364,273,MOBILHOME 6 personnes - Malaga CLASSIC Climatié 4/6 p,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"370,25","278,25",MOBILHOME 4 personnes - Sumba CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"381,50","286,50",MOBILHOME 4 personnes - Azur CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"386,25","290,25",MOBILHOME 4 personnes - Bergame CONFORT Climatisé,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,396,297,MOBILHOME 6 personnes - Nirvana CLASSIC Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"418,25","314,25",MOBILHOME 6 personnes - Venezia CONFORT Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,315,315,MOBILHOME 6 personnes - Confort 4/6 places 2 chambres,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"434,25","326,25",MOBILHOME 6 personnes - Bahia CONFORT Climatisé,Camping Club Le Littoral,6 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"377,17",347,MOBILHOME 6 personnes - Cottage 3 Pièces Climatisé + TV,Camping Club Le Littoral,4 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,548,411,MOBILHOME 8 personnes - Family CONFORT Climaisé,Camping Club Le Littoral,8 Adultes, 66700 ARGELES,,14,camping-club-le-littoral-76763,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"397,50","298,50",MOBILHOME 5 personnes - Florès CLASSIC climatisé,Camping Club Les Tamaris,5 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"397,50","298,50",MOBILHOME 6 personnes - Malaga CLASSIC Climatisé 4/6 p,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"420,96","301,28",MOBILHOME 6 personnes - Cottage 3 Pièces 4/6 Personnes Climatisé + TV,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"402,25","302,25",MOBILHOME 4 personnes - Dune CONFORT climatisé,Camping Club Les Tamaris,4 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"520,34",307,MOBILHOME 6 personnes - Cottage 4 Pièces 6 Personnes Climatisé + TV,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,424,318,CHALET 6 personnes - Samoa CLASSIC Climatisé,Camping Club Les Tamaris,6 Adultes, 66420 LE BARCARES,,14,camping-club-les-tamaris-77541,Languedoc-roussillon
