web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,05/08/2023,12/08/2023,345,276,MOBILHOME 6 personnes - Mh Evasion+ 6P 2CH 28m² Merc,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,345,276,MOBILHOME 6 personnes - Mh Evasion+ 6P 2CH 28m² Sam,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,345,276,MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,450,360,MOBILHOME 5 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,5 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,450,360,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,450,360,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 34m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,450,360,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,485,485,MOBILHOME 6 personnes,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,,31,camping-le-clos-virgile-78527,
,27/03/2023,05/08/2023,12/08/2023,1049,1049,MOBILHOME 5 personnes - 2 chambres 4/5 places,Camping Mer et Camargue,5 Adultes, 30420 CALVISSON,,,31,camping-mer-et-camargue-76986,
,27/03/2023,05/08/2023,12/08/2023,1149,1149,MOBILHOME 6 personnes - 3 chambres,Camping Mer et Camargue,6 Adultes, 30420 CALVISSON,,,31,camping-mer-et-camargue-76986,
,27/03/2023,05/08/2023,12/08/2023,420,315,MOBILHOME 4 personnes - FAMILY PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,441,330.75,MOBILHOME 4 personnes - LOGGIA PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,455,341.25,MOBILHOME 6 personnes - ESPACE CLASSIC,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,469,351.75,MOBILHOME 6 personnes - ESPACE PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,490,367.50,MOBILHOME 6 personnes - ESPACE PREMIUM + clim TV,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,504,378,MOBILHOME 6 personnes - BAY PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,525,393.75,MOBILHOME 6 personnes - ESPACE PREMIUM- vue sur le Bassin de Thau,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,840,630,MOBILHOME 4 personnes - FAMILY LUXE (draps inclus),Camping Beau Rivage,4 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,945,708.75,MOBILHOME 4 personnes - FAMILY LUXE (draps inclus),Camping Beau Rivage,4 Adultes, 34140 MEZE,,,31,camping-beau-rivage-77811,
,27/03/2023,05/08/2023,12/08/2023,1295,1295,MOBILHOME 4 personnes - Basik,La Clape Village,4 Adultes, 34300 AGDE,,,31,la-clape-village-76694,
,27/03/2023,05/08/2023,12/08/2023,2356.72,2238.88,MOBILHOME 6 personnes - Cottage Privilège 4 Pièces 6 personnes Climatisé + TV,La Clape Village,6 Adultes, 34300 AGDE,,,31,la-clape-village-76694,
