url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-l-etoile-d-or-79472#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,385,330,MOBILHOME 6 personnes - Cottage Privilège 3 chambres + Clim,4 Adultes,,Camping l'Etoile d'Or,ARGELES,,14,camping-l-etoile-d-or-79472,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-l-etoile-d-or-79472#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,420,360,MOBILHOME 6 personnes - Cottage Luxe 3 chambres + Clim,6 Adultes,,Camping l'Etoile d'Or,ARGELES,,14,camping-l-etoile-d-or-79472,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,525,315,MOBILHOME 6 personnes - Mobil Home Pyrénées 3 Pièces 4/6 Personnes Climatisé + TV,4 Adultes,,Camping maeva Club Le Lagon d'Argelès,ARGELES,,14,camping-maeva-club-le-lagon-d-argeles-76769,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,525,315,MOBILHOME 4 personnes - PMR 3 Pièces 4 Personnes Climatisé + TV,4 Adultes,,Camping maeva Club Le Lagon d'Argelès,ARGELES,,14,camping-maeva-club-le-lagon-d-argeles-76769,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,570,342,MOBILHOME 8 personnes - Mobil Home Evolution 4 Pièces 6/8 Personnes Climatisé + TV,6 Adultes,,Camping maeva Club Le Lagon d'Argelès,ARGELES,,14,camping-maeva-club-le-lagon-d-argeles-76769,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,603,362,MOBILHOME 10 personnes - Mobil Home Family 5 Pièces 8/10 Personnes Climatisé + TV,8 Adultes,,Camping maeva Club Le Lagon d'Argelès,ARGELES,,14,camping-maeva-club-le-lagon-d-argeles-76769,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-taxo-les-pins-76759#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,367,301,MOBILHOME 4 personnes - Confort 3 Pièces Climatisé + TV,4 Adultes,,Camping Taxo les Pins,ARGELES,,14,camping-taxo-les-pins-76759,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-taxo-les-pins-76759#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,400,312,MOBILHOME 6 personnes - Confort 4 Pièces Climatisé + TV,4 Adultes,,Camping Taxo les Pins,ARGELES,,14,camping-taxo-les-pins-76759,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-taxo-les-pins-76759#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,320,320,MOBILHOME 4 personnes - Mobilhome de Pierrot,4 Adultes,,Camping Taxo les Pins,ARGELES,,14,camping-taxo-les-pins-76759,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-taxo-les-pins-76759#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,370,370,MOBILHOME 6 personnes - Mobilhome de Pierrot,6 Adultes,,Camping Taxo les Pins,ARGELES,,14,camping-taxo-les-pins-76759,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-taxo-les-pins-76759#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,495,495,MOBILHOME 6 personnes,6 Adultes,,Camping Taxo les Pins,ARGELES,,14,camping-taxo-les-pins-76759,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-le-rancho-76773#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,385,385,MOBILHOME 5 personnes - 2 chambres + Clim,4 Adultes,,Camping Le Rancho,ARGELES,,14,camping-le-rancho-76773,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-plage-argeles-76745#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,473,402,MOBILHOME 4 personnes - BORNEO,4 Adultes,,Camping la Plage Argelès,ARGELES,,14,camping-la-plage-argeles-76745,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-plage-argeles-76745#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,535,455,MOBILHOME 4 personnes - MALDIVES,4 Adultes,,Camping la Plage Argelès,ARGELES,,14,camping-la-plage-argeles-76745,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-plage-argeles-76745#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,597,508,MOBILHOME 4 personnes - MOOREA,4 Adultes,,Camping la Plage Argelès,ARGELES,,14,camping-la-plage-argeles-76745,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-plage-argeles-76745#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,624,531,MOBILHOME 6 personnes - TONGA,6 Adultes,,Camping la Plage Argelès,ARGELES,,14,camping-la-plage-argeles-76745,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-plage-argeles-76745#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,624,531,MOBILHOME 4 personnes - WALLIS,4 Adultes,,Camping la Plage Argelès,ARGELES,,14,camping-la-plage-argeles-76745,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-la-plage-argeles-76745#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,707,601,MOBILHOME 6 personnes - FUTUNA,6 Adultes,,Camping la Plage Argelès,ARGELES,,14,camping-la-plage-argeles-76745,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-le-roussillonnais-76761#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,357,259,MOBILHOME 4 personnes - Cosy 2 chambres (I4P2),4 Adultes,,Camping Le Roussillonnais,ARGELES,,14,camping-le-roussillonnais-76761,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-domaine-des-mimosas-76758#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,529,529,MOBILHOME 6 personnes - IRM pour 4/6 personnes (2 chambres) sans clim,4 Adultes,,Camping Domaine des Mimosas,ARGELES,,14,camping-domaine-des-mimosas-76758,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-domaine-des-mimosas-76758#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,529,529,MOBILHOME 6 personnes - IRM 09 pour 4/6 personnes (2 chambres) avec clim,4 Adultes,,Camping Domaine des Mimosas,ARGELES,,14,camping-domaine-des-mimosas-76758,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-domaine-des-mimosas-76758#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,559,559,MOBILHOME 6 personnes - des Ecureuils pour 4/6 personnes (2 chambres),4 Adultes,,Camping Domaine des Mimosas,ARGELES,,14,camping-domaine-des-mimosas-76758,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-domaine-des-mimosas-76758#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,670,670,VILLA 6 personnes - des Chênes,6 Adultes,,Camping Domaine des Mimosas,ARGELES,,14,camping-domaine-des-mimosas-76758,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-domaine-des-mimosas-76758#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,969,969,VILLA 8 personnes - du Château pour 6/8 personnes (2 chambres),6 Adultes,,Camping Domaine des Mimosas,ARGELES,,14,camping-domaine-des-mimosas-76758,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-flower-les-chenes-rouges-76760#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,413,413,MOBILHOME 4 personnes - Corail,4 Adultes,,Camping FLOWER Les Chênes Rouges,ARGELES,,14,camping-flower-les-chenes-rouges-76760,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-flower-les-chenes-rouges-76760#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,427,427,MOBILHOME 6 personnes - Capucine,6 Adultes,,Camping FLOWER Les Chênes Rouges,ARGELES,,14,camping-flower-les-chenes-rouges-76760,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-flower-les-chenes-rouges-76760#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,448,448,MOBILHOME 6 personnes - Grenadine,6 Adultes,,Camping FLOWER Les Chênes Rouges,ARGELES,,14,camping-flower-les-chenes-rouges-76760,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-flower-les-chenes-rouges-76760#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,497,497,MOBILHOME 6 personnes - Carmin,6 Adultes,,Camping FLOWER Les Chênes Rouges,ARGELES,,14,camping-flower-les-chenes-rouges-76760,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-flower-les-chenes-rouges-76760#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,497,497,MOBILHOME 4 personnes - Cerise,4 Adultes,,Camping FLOWER Les Chênes Rouges,ARGELES,,14,camping-flower-les-chenes-rouges-76760,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-flower-les-chenes-rouges-76760#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,518,518,MOBILHOME 6 personnes - Rubis premium,6 Adultes,,Camping FLOWER Les Chênes Rouges,ARGELES,,14,camping-flower-les-chenes-rouges-76760,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/domaine-residentiel-de-plein-air-le-neptune-76748#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,362,260,MOBILHOME 5 personnes - Cosy 2 chambres Climatisé (I52C),4 Adultes,,Domaine Résidentiel de Plein Air Le Neptune,ARGELES,,14,domaine-residentiel-de-plein-air-le-neptune-76748,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/domaine-residentiel-de-plein-air-le-neptune-76748#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,381,274,MOBILHOME 6 personnes - Cosy 2 chambres Climatisé (I62C),4 Adultes,,Domaine Résidentiel de Plein Air Le Neptune,ARGELES,,14,domaine-residentiel-de-plein-air-le-neptune-76748,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/tour-operateur-sur-camping-club-la-sirene-76770#?checkInDate=2023-04-08&night=7,,03/04/2023,08/04/2023,15/04/2023,770,654,MOBILHOME 6 personnes - 3 chambres PLUS (Keller Travel),6 Adultes,,Tour opérateur sur camping club La Sirène,ARGELES,,14,tour-operateur-sur-camping-club-la-sirene-76770,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,444,297,MOBILHOME 6 personnes - Cottage 4 Pièces 6 Personnes Climatisé + TV,6 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,425,319,MOBILHOME 4 personnes - Sumba CONFORT Climatisé,4 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,428,321,MOBILHOME 6 personnes - Malaga CLASSIC Climatié 4/6 p,6 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,434,326,MOBILHOME 4 personnes - Azur CONFORT Climatisé,4 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,441,331,MOBILHOME 4 personnes - Bergame CONFORT Climatisé,4 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,492,369,MOBILHOME 6 personnes - Venezia CONFORT Climatisé,6 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-club-le-littoral-76763#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,646,491,MOBILHOME 8 personnes - Family CONFORT Climaisé,8 Adultes,,Camping Club Le Littoral,ARGELES,,14,camping-club-le-littoral-76763,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,149,149,TENTE TOILE ET BOIS 4 personnes - Safari,4 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,159,159,MOBILHOME 4 personnes - Eco,4 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,169,169,MOBILHOME 4 personnes - Classique,4 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,199,199,MOBILHOME 6 personnes - Classique,6 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,319,319,MOBILHOME 8 personnes - Confort,8 Adultes,,Le Pearl - Camping Paradis,ARGELES,,14,le-pearl-camping-paradis-76750,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-le-beausejour-79458#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,281,246,MOBILHOME 4 personnes - Cocoon+ 4 personne 2 chambres 24m²,4 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-le-beausejour-79458#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,281,246,MOBILHOME 4 personnes - Cocoon+ 4 personne 2 chambres 24m²,4 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
https://www.campings.com/fr/camping/camping-le-beausejour-79458#?checkInDate=2023-04-09&night=7,,03/04/2023,09/04/2023,16/04/2023,281,246,MOBILHOME 4 personnes - Cocoon+ 4 personne 2 chambres 24m²,4 Adultes,,Camping Le Beauséjour,ARGELES,,14,camping-le-beausejour-79458,ARGELÈS-SUR-MER
