url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offre,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-la-cremade-79572#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,350,350,MOBILHOME 6 personnes,Camping La Cremade,6 Adultes, 11140 AXAT,,,14,camping-la-cremade-79572,
https://www.campings.com/fr/camping/camping-la-cremade-79572#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,390,390,CHALET 4 personnes - Lodge Bois 34m2,Camping La Cremade,4 Adultes, 11140 AXAT,,,14,camping-la-cremade-79572,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,355,355,TENTE TOILE ET BOIS 5 personnes - ECOLODGE STANDARD sans sanitaires 20 m²,Camping Domaine de la Palme,5 Adultes, 11480 LA PALME,,,14,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,491,491,MOBILHOME 4 personnes - MH2 CONFORT 29 m² avec terrasse,Camping Domaine de la Palme,4 Adultes, 11480 LA PALME,,,14,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,512,512,MOBILHOME 4 personnes - MH2 FAMILLE CONFORT 29 m² avec terrasse et climatisation,Camping Domaine de la Palme,4 Adultes, 11480 LA PALME,,,14,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,533,533,CHALET 4 personnes - COTTAGE FAMILLE 28 m²,Camping Domaine de la Palme,4 Adultes, 11480 LA PALME,,,14,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/camping-domaine-de-la-palme-77268#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,658,658,MOBILHOME 6 personnes - 3 chambres 32 m2 + clim + TV,Camping Domaine de la Palme,6 Adultes, 11480 LA PALME,,,14,camping-domaine-de-la-palme-77268,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,360,360,MOBILHOME 4 personnes - MH2 COTTAGE FAMILY,Village Vacances de Gruissan,4 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,492,492,GÎTE 4 personnes,Village Vacances de Gruissan,4 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,492,492,GÎTE 3 personnes -  PMR 3 personnes,Village Vacances de Gruissan,3 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,492,492,GÎTE 4 personnes - Gîte PMR 4 personnes,Village Vacances de Gruissan,4 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,534,534,GÎTE 6 personnes,Village Vacances de Gruissan,6 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,564,564,MOBILHOME 4 personnes - MH2 COTTAGE PREMIUM PMR,Village Vacances de Gruissan,4 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,564,564,MOBILHOME 4 personnes - MH2 COTTAGE PMR,Village Vacances de Gruissan,4 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,636,636,GÎTE 8 personnes,Village Vacances de Gruissan,8 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/village-vacances-de-gruissan-77308#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,720,720,MOBILHOME 8 personnes - MH3 COTTAGE PREMIUM 6/8,Village Vacances de Gruissan,6 Adultes, 11430 GRUISSAN,,,14,village-vacances-de-gruissan-77308,
https://www.campings.com/fr/camping/camping-la-commanderie-79905#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,420,420,MOBILHOME 4 personnes - Classique 2 chambres 29m² (TV),Camping La Commanderie,4 Adultes, FRANCE,,,14,camping-la-commanderie-79905,
https://www.campings.com/fr/camping/camping-la-commanderie-79905#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,441,441,MOBILHOME 5 personnes - Mobil Home Confort 2 chambres 28m² (TV),Camping La Commanderie,5 Adultes, FRANCE,,,14,camping-la-commanderie-79905,
https://www.campings.com/fr/camping/camping-la-commanderie-79905#?checkInDate=2023-04-08&night=7,,27/03/2023,08/04/2023,15/04/2023,469,469,MOBILHOME 5 personnes - Confort Plus 2 chambres 28m² (Clim+TV),Camping La Commanderie,5 Adultes, FRANCE,,,14,camping-la-commanderie-79905,
